Age_kyr,TS_Full_dataset,TS_20kyr_ensemble_mean,TS_20kyr_empirical_lower_95,TS_20kyr_empirical_upper_95,TS_50kyr_ensemble_mean,TS_50kyr_empirical_lower_95,TS_50kyr_empirical_upper_95,TS_100kyr_ensemble_mean,TS_100kyr_empirical_lower_95,TS_100kyr_empirical_upper_95
1030,0.0007307831415624787,0.0007049669276593107,0.0004118370786236543,0.0009921340489747838,0.0006965664151732478,9.72065147661419e-05,0.0013298969897351952,0.0007336496373363466,4.77302143374843e-05,0.0016424773765163665
1040,0.0006822332468005022,0.0006659637022311828,0.00037996552948029854,0.0009553058551042404,0.0006376215446391233,8.386652684624487e-05,0.0013294498132781318,0.0007024675786649832,2.837419410094412e-05,0.0016650958396392846
1050,0.0006656460094521729,0.0006351695688303917,0.0003489189951464704,0.0009493376262894966,0.0006191523367877463,8.375761864298264e-05,0.0012975076242317028,0.0006965455450908169,3.2163893415534496e-05,0.0016650958396392846
1060,0.000666364982380666,0.0006320160673756606,0.0003484361633929189,0.0009419520931473838,0.0006145834533829589,7.691356930510897e-05,0.001245074161274519,0.000687536656286532,4.1073176496404234e-05,0.001613441470596476
1070,0.0006849852075657024,0.0006582537263258224,0.00037088445672970325,0.0009450439005538088,0.0006338459168556783,6.876243046048204e-05,0.0012514645942794042,0.0007138727059973387,3.280715150001144e-05,0.001788207048632517
1080,0.0007149940398187924,0.0006834788931798959,0.0003544542519365714,0.0009976829488069867,0.0006505062156563196,8.59741757623225e-05,0.0012514645942794042,0.0007188240596070108,2.1690682444937442e-05,0.001788207048632517
1090,0.0007249571374756287,0.0006707324031511254,0.00036094415206307077,0.0009770802324196332,0.0006455006307992056,8.607608453252025e-05,0.0012218226043699922,0.0007211076333063505,2.1690682444937442e-05,0.0016433846598475133
1100,0.0007394773940187302,0.0006668162308575667,0.0003729770372700995,0.0009848395493598926,0.0006603115838424016,8.578009634415422e-05,0.0013167148619004129,0.0007339808902632036,2.1690682444937442e-05,0.0017004798895539977
1110,0.0007762296309028102,0.0006898598299658752,0.00040362197886907673,0.001019852982719662,0.0006747698724426953,0.00012927954269892673,0.001314337746431962,0.0007440435815576327,2.7335643294339945e-05,0.0017004798895539977
1120,0.0008379148354173097,0.0007257292651125267,0.0004409143621101355,0.0010197061603464176,0.0006993648424511764,0.00011040835383630882,0.0012529709531506864,0.0007710516666312409,6.024457514413226e-05,0.0017004798895539977
1130,0.0008244551725401465,0.0007141263010860237,0.0004270050805456928,0.0009987000372102895,0.0006878597939354748,0.00010981877471952391,0.0012590650183567683,0.0007626535322408158,5.892005533765172e-05,0.001502083822475125
1140,0.0007347145463050792,0.0006604073395194762,0.00040353892887058337,0.0009233246178068736,0.0006357820198478158,5.610549439492863e-05,0.0012173920837165084,0.0007151708398965849,3.107078254180478e-05,0.0014907820504292675
1150,0.0006718983222771138,0.0006302797009913071,0.0003503135798947668,0.0008822138847840051,0.0006177821664095044,5.610549439492863e-05,0.0011995937876015353,0.0006760587380053628,2.1630838688407024e-05,0.0014861125861303582
1160,0.0005958051237603398,0.0005827496476670964,0.00031855282935776654,0.0008190524393322018,0.0005642692025470749,5.6072433229866045e-05,0.001077927720307999,0.0006239480563928503,1.829406804338053e-05,0.0014861125861303582
1170,0.0005328155155878143,0.0005230777556399327,0.0002627723027613059,0.0007847933199176668,0.0005216654023613651,4.1433271800809576e-05,0.0010572337602359465,0.0006021651276478481,1.829406804338053e-05,0.0015018641001152409
1180,0.0004917171358140522,0.00048465262144163553,0.0002109230842111383,0.0007088369644853569,0.00048709028428102204,2.057413081827408e-05,0.0010078600857651016,0.000574580563083461,5.19750682288227e-05,0.0014385753065429387
1190,0.00048574860969269904,0.0004841122853497929,0.00024350909166328126,0.0007392515889962072,0.00048214605095086806,2.057413081827408e-05,0.0010008983167208915,0.0005809730118982677,2.2542333369210077e-05,0.0014751253010898788
1200,0.0005173123807720647,0.0005065737546058618,0.0002711810970180571,0.0007455821102305579,0.000497190011071542,4.1433271800809576e-05,0.0009575339738913336,0.0005888335124554997,2.2461605872079202e-05,0.0014753400407835442
1210,0.0005353268736178203,0.000518001413808466,0.0002745445161789868,0.0007623563260554133,0.0005026678003439649,5.3233699502556366e-05,0.000955934061132464,0.0005949585954146553,2.725895804990679e-05,0.0014753400407835442
1220,0.0005495201037231588,0.0005289586895963797,0.00028883711180780294,0.0007658097646901974,0.0005105204095701116,5.3233699502556366e-05,0.0009580158595793081,0.0006075932331098639,2.725895804990679e-05,0.0014753400407835442
1230,0.0005126538945394745,0.0005194329621086772,0.0002846250434912137,0.0007613931823094221,0.0004914198934373442,4.948677465073485e-05,0.00098528573888383,0.0005959202985809191,2.6467933547062278e-05,0.001407046141312242
1240,0.0005056397796927485,0.0005114419688978499,0.0002693424963033774,0.000746557649972093,0.0004939582341136169,4.756904028499373e-05,0.0010152109874173446,0.000587252666132621,1.843193495477103e-05,0.0013820889430090563
1250,0.0004500826223099543,0.0004543282838430363,0.0001577065035808304,0.0007435559354699381,0.00045647070575926624,2.6674660133551395e-05,0.000983477094169644,0.0005553380533980218,1.843193495477103e-05,0.0013635650669993836
